t	S
[/]	[MPa]
0	-57
1	-113
2	-87
3	70
4	53
5	165
6	38
7	-184
8	-195
9	48
10	42
11	71
12	135
13	173
14	157
15	109
16	-130
17	-177
18	185
19	211
20	-135
21	-184
22	-142
23	161
24	98
25	-151
26	91
27	10
28	-65
29	87
30	138
31	155
32	67
33	74
34	-214
35	46
36	16
37	-138
38	97
39	159
40	147
41	-95
42	-75
43	205
44	-178
45	-85
46	-20
47	-95
48	52
49	154
50	20
51	-42
52	105
53	-174
54	63
55	55
56	183
57	-110
58	56
59	189
60	-46
61	154
62	74
63	-157
64	-52
65	-80
66	-70
67	-125
68	142
69	-9
70	-104
71	-162
72	-230
73	9
74	-193
75	144
76	101
77	-216
78	172
79	128
80	21
81	45
82	-64
83	74
84	-63
85	-204
86	-39
87	-154
88	-65
89	-25
90	-156
91	158
92	-18
93	88
94	17
95	154
96	-60
97	221
98	-171
99	-144
100	151
101	-195
102	75
103	5
104	202
105	125
106	209
107	91
108	28
109	-152
110	-136
111	-192
112	-107
113	42
114	-160
115	7
116	-215
117	159
118	13
119	-81
120	-156
121	20
122	47
123	-173
124	53
125	-15
126	157
127	130
128	-118
129	-141
130	-220
131	-97
132	134
133	-93
134	-200
135	148
136	-202
137	177
138	210
139	70
140	-68
141	-96
142	80
143	24
144	172
145	36
146	100
147	-29
148	-206
149	126
150	207
151	-223
152	5
153	68
154	-158
155	163
156	47
157	55
158	97
159	-65
160	125
161	-219
162	-217
163	-168
164	-173
165	224
166	4
167	-66
168	6
169	99
170	54
171	-152
172	37
173	-143
174	101
175	-9
176	69
177	49
178	229
179	-54
180	-142
181	-10
182	73
183	-16
184	179
185	219
186	-201
187	75
188	173
189	-17
190	151
191	15
192	-6
193	138
194	-136
195	87
196	-215
197	-204
198	103
199	110
200	-151
201	-214
202	-118
203	224
204	161
205	-66
206	-96
207	111
208	4
209	146
210	227
211	-75
212	177
213	-151
214	-225
215	-122
216	-129
217	-223
218	-78
219	108
220	-140
221	-111
222	-225
223	-218
224	-105
225	-149
226	134
227	189
228	79
229	-153
230	56
231	-18
232	139
233	-219
234	203
235	-193
236	6
237	67
238	193
239	-160
240	-153
241	205
242	-49
243	-112
244	78
245	-189
246	208
247	207
248	-71
249	229
250	110
251	32
252	156
253	-102
254	-190
255	230
256	106
257	187
258	-155
259	71
260	116
261	195
262	-226
263	-153
264	-87
265	41
266	-195
267	-170
268	-171
269	59
270	-158
271	-115
272	-51
273	-227
274	119
275	10
276	185
277	148
278	186
279	211
280	147
281	133
282	218
283	-176
284	38
285	215
286	-161
287	-141
288	-45
289	-106
290	200
291	219
292	-143
293	222
294	-143
295	-11
296	-230
297	40
298	220
299	71
300	191
301	-23
302	-167
303	-195
304	-108
305	-194
306	52
307	-218
308	-20
309	226
310	-140
311	-48
312	-174
313	-204
314	190
315	71
316	-115
317	18
318	-163
319	225
320	23
321	-145
322	217
323	145
324	54
325	-158
326	96
327	-43
328	18
329	109
330	21
331	41
332	66
333	-101
334	55
335	-16
336	-230
337	-28
338	-198
339	-175
340	-176
341	-66
342	43
343	77
344	-160
345	-136
346	-68
347	76
348	163
349	-139
350	17
351	19
352	-230
353	49
354	60
355	-140
356	-194
357	-130
358	-205
359	-54
360	-119
361	-208
362	73
363	107
364	-47
365	-196
366	84
367	-227
368	-124
369	-142
370	106
371	-98
372	207
373	-152
374	60
375	82
376	219
377	-153
378	45
379	8
380	135
381	83
382	-73
383	215
384	190
385	-165
386	8
387	-189
388	181
389	-52
390	-35
391	-181
392	124
393	104
394	-51
395	145
396	-4
397	28
398	90
399	98
400	195
401	-20
402	-127
403	-19
404	161
405	-130
406	-54
407	228
408	-66
409	-109
410	-193
411	95
412	-21
413	228
414	171
415	190
416	-19
417	-177
418	-186
419	9
420	-197
421	116
422	-129
423	226
424	31
425	-91
426	196
427	56
428	-120
429	-45
430	201
431	-165
432	-229
433	149
434	107
435	-140
436	-153
437	-116
438	10
439	120
440	-82
441	-192
442	-25
443	71
444	-52
445	-214
446	-71
447	224
448	95
449	-150
450	137
451	75
452	208
453	-18
454	-105
455	29
456	123
457	189
458	31
459	74
460	158
461	-126
462	-63
463	83
464	195
465	-182
466	29
467	136
468	-170
469	-64
470	-96
471	-203
472	91
473	-140
474	132
475	-214
476	173
477	-17
478	-86
479	-212
480	149
481	-89
482	137
483	-158
484	-134
485	-214
486	117
487	198
488	217
489	-31
490	-175
491	-35
492	206
493	-33
494	-48
495	-90
496	89
497	120
498	-66
499	-53
500	196
501	-45
502	79
503	158
504	144
505	-210
506	103
507	191
508	93
509	183
510	-103
511	-180
512	-222
513	163
514	-143
515	6
516	18
517	-156
518	72
519	-143
520	-137
521	26
522	104
523	62
524	-211
525	-57
526	-76
527	-126
528	68
529	-103
530	-28
531	120
532	-49
533	101
534	137
535	42
536	221
537	66
538	134
539	-50
540	-96
541	215
542	-4
543	135
544	0
545	91
546	-59
547	158
548	-83
549	-8
550	-131
551	16
552	127
553	214
554	190
555	-106
556	126
557	-48
558	203
559	24
560	-229
561	-127
562	204
563	-149
564	190
565	-224
566	-157
567	-209
568	-50
569	14
570	-144
571	-226
572	-230
573	7
574	-40
575	87
576	-57
577	134
578	157
579	197
580	-216
581	198
582	122
583	-53
584	-164
585	-97
586	12
587	-8
588	-178
589	-75
590	117
591	102
592	188
593	33
594	-213
595	-151
596	108
597	-188
598	-130
599	-126
600	-192
601	-109
602	168
603	134
604	-85
605	66
606	-124
607	103
608	-131
609	-1
610	-64
611	-200
612	206
613	169
614	-189
615	185
616	-195
617	-53
618	150
619	122
620	-188
621	6
622	-199
623	-171
624	179
625	-24
626	-115
627	-25
628	150
629	-81
630	-81
631	-126
632	36
633	-173
634	184
635	-13
636	170
637	7
638	-74
639	-68
640	-193
641	-47
642	-160
643	205
644	58
645	-73
646	-170
647	103
648	-10
649	76
650	149
651	-26
652	136
653	-212
654	184
655	-225
656	-186
657	225
658	-128
659	84
660	-202
661	-98
662	-99
663	132
664	156
665	46
666	127
667	173
668	153
669	-164
670	-134
671	147
672	151
673	39
674	-79
675	-61
676	11
677	-151
678	-148
679	155
680	-150
681	-199
682	14
683	142
684	-227
685	60
686	199
687	-31
688	-222
689	21
690	28
691	210
692	146
693	-219
694	-101
695	120
696	-95
697	-46
698	-146
699	161
700	-163
701	-75
702	-192
703	-203
704	55
705	84
706	78
707	-193
708	-3
709	-19
710	-93
711	-161
712	30
713	18
714	-94
715	96
716	86
717	-175
718	-124
719	-34
720	-194
721	3
722	-74
723	46
724	78
725	63
726	74
727	-229
728	-163
729	130
730	51
731	-49
732	-148
733	164
734	-79
735	-79
736	3
737	189
738	178
739	67
740	93
741	-80
742	-135
743	65
744	-47
745	121
746	-34
747	58
748	136
749	-230
750	72
751	-197
752	-13
753	88
754	-5
755	-70
756	-53
757	-64
758	151
759	124
760	25
761	-79
762	124
763	-121
764	91
765	230
766	-137
767	99
768	159
769	-109
770	74
771	-6
772	133
773	77
774	88
775	195
776	6
777	-37
778	151
779	-181
780	-14
781	-85
782	176
783	112
784	-184
785	112
786	158
787	173
788	196
789	199
790	-177
791	-96
792	-3
793	152
794	-204
795	43
796	-170
797	140
798	75
799	-82
800	117
801	-167
802	122
803	-67
804	205
805	129
806	-222
807	-41
808	-90
809	97
810	67
811	100
812	-60
813	-77
814	-120
815	88
816	-68
817	-121
818	85
819	-171
820	112
821	-96
822	-81
823	128
824	181
825	-65
826	-75
827	2
828	-126
829	154
830	-214
831	106
832	-147
833	176
834	70
835	144
836	-126
837	-85
838	103
839	189
840	46
841	-213
842	155
843	-123
844	39
845	-43
846	-146
847	127
848	56
849	68
850	178
851	34
852	-8
853	100
854	20
855	227
856	148
857	-116
858	-18
859	221
860	-104
861	48
862	-138
863	188
864	-27
865	-91
866	-103
867	42
868	187
869	14
870	121
871	-159
872	150
873	82
874	-141
875	-113
876	92
877	177
878	-109
879	203
880	-31
881	-180
882	-176
883	62
884	37
885	-162
886	-73
887	-96
888	227
889	-171
890	164
891	142
892	67
893	57
894	22
895	156
896	-145
897	182
898	2
899	-222
900	-204
901	-181
902	187
903	-93
904	-168
905	196
906	-142
907	43
908	-48
909	-228
910	-126
911	-214
912	-188
913	176
914	-24
915	58
916	-219
917	107
918	-132
919	126
920	104
921	152
922	56
923	-183
924	-64
925	211
926	-24
927	11
928	192
929	77
930	-114
931	121
932	-174
933	20
934	-71
935	-181
936	-226
937	-189
938	-84
939	-112
940	-85
941	-7
942	-227
943	145
944	50
945	-156
946	165
947	217
948	153
949	134
950	-142
951	-68
952	219
953	-186
954	200
955	204
956	112
957	29
958	175
959	144
960	-44
961	-207
962	68
963	183
964	-221
965	72
966	13
967	172
968	82
969	57
970	-48
971	51
972	23
973	192
974	-171
975	-91
976	-216
977	106
978	152
979	210
980	155
981	223
982	67
983	167
984	-30
985	99
986	-137
987	2
988	-182
989	131
990	-212
991	-105
992	-112
993	-44
994	-203
995	-10
996	-86
997	121
998	-52
999	-163
1000	-101
1001	200
1002	51
1003	-88
1004	-103
1005	88
1006	216
1007	-136
1008	0
1009	132
1010	82
1011	225
1012	-84
1013	-169
1014	-107
1015	-19
1016	31
1017	203
1018	39
1019	-165
1020	76
1021	106
1022	-217
1023	-175
1024	-57
1025	-180
1026	107
1027	227
1028	-68
1029	209
1030	-13
1031	151
1032	-185
1033	-222
1034	-193
1035	-188
1036	-223
1037	-157
1038	215
1039	162
1040	167
1041	142
1042	121
1043	-204
1044	-178
1045	78
1046	175
1047	-204
1048	-111
1049	-50
1050	-60
1051	-215
1052	-96
1053	-206
1054	-26
1055	61
1056	-101
1057	110
1058	0
1059	55
1060	-43
1061	-64
1062	-37
1063	205
1064	191
1065	128
1066	-75
1067	-153
1068	-56
1069	-39
1070	-133
1071	128
1072	20
1073	-29
1074	4
1075	-225
1076	-188
1077	-89
1078	76
1079	-29
1080	57
1081	-31
1082	-53
1083	23
1084	113
1085	80
1086	-180
1087	124
1088	-165
1089	189
1090	36
1091	-130
1092	44
1093	-44
1094	-32
1095	132
1096	84
1097	-37
1098	-151
1099	-226
1100	-110
1101	-185
1102	70
1103	161
1104	187
1105	-64
1106	201
1107	-145
1108	32
1109	218
1110	163
1111	-18
1112	138
1113	-165
1114	-198
1115	-140
1116	-63
1117	99
1118	-111
1119	32
1120	83
1121	141
1122	-38
1123	-137
1124	207
1125	-200
1126	197
1127	-148
1128	218
1129	210
1130	209
1131	33
1132	93
1133	-40
1134	214
1135	-171
1136	-44
1137	80
1138	-227
1139	207
1140	216
1141	-158
1142	-47
1143	16
1144	175
1145	149
1146	50
1147	-79
1148	187
1149	211
1150	-91
1151	-96
1152	-53
1153	64
1154	-51
1155	161
1156	147
1157	-62
1158	18
1159	79
1160	94
1161	-5
1162	-10
1163	196
1164	17
1165	-181
1166	46
1167	3
1168	-217
1169	-64
1170	-37
1171	-202
1172	-110
1173	-148
1174	-222
1175	-149
1176	100
1177	-74
1178	200
1179	104
1180	123
1181	-32
1182	163
1183	128
1184	119
1185	-45
1186	-128
1187	211
1188	-57
1189	185
1190	-143
1191	-145
1192	84
1193	213
1194	-129
1195	-166
1196	-109
1197	83
1198	16
1199	58
1200	-90
1201	22
1202	-205
1203	179
1204	-173
1205	-84
1206	220
1207	101
1208	-77
1209	125
1210	-4
1211	-164
1212	-185
1213	-176
1214	-70
1215	87
1216	71
1217	57
1218	181
1219	195
1220	-103
1221	-55
1222	-220
1223	178
1224	126
1225	-133
1226	159
1227	-136
1228	169
1229	-174
1230	-182
1231	-191
1232	-82
1233	-186
1234	-122
1235	201
1236	-198
1237	-33
1238	-92
1239	51
1240	-205
1241	13
1242	226
1243	125
1244	-17
1245	-31
1246	-177
1247	-60
1248	-49
1249	-136
1250	135
1251	-126
1252	1
1253	177
1254	213
1255	-115
1256	174
1257	-83
1258	129
1259	-62
1260	-77
1261	-1
1262	-205
1263	214
1264	19
1265	14
1266	-212
1267	-156
1268	-139
1269	-192
1270	-168
1271	-225
1272	-81
1273	64
1274	-14
1275	162
1276	-154
1277	-214
1278	151
1279	-205
1280	73
1281	-69
1282	68
1283	34
1284	-42
1285	-188
1286	100
1287	-1
1288	124
